name,id
Richard Donner,943
Joe Dante,927
Joe Dante,928
Martin Campbell,9342
Robert Zemeckis,165
Robert Zemeckis,196
Ronald Neame,551
Irwin Allen,551
Robert Stevenson,17984
Vincent McEveety,22328
David Hand,3170
James Algar,3170
Samuel Armstrong,3170
William Roberts,3170
Paul Satterfield,3170
Graham Heid,3170
Norman Wright,3170
Francis Ford Coppola,242
Sam Weisman,11164
Vincent McEveety,12129
Vincent McEveety,14140
Randal Kleiser,11158
Joe Johnston,9354
Wolfgang Reitherman,9325
Hamilton Luske,10340
Wilfred Jackson,10340
Clyde Geronimi,10340
Ron Clements,10144
John Musker,10144
Stephen Herek,10414
Hamilton Luske,12230
Wolfgang Reitherman,12230
Clyde Geronimi,12230
Clyde Geronimi,10693
Wilfred Jackson,10693
Hamilton Luske,10693
John Lounsbery,11319
Wolfgang Reitherman,11319
Art Stevens,11319
John Hough,14822
Alan Zaslove,15969
Tad Stones,15969
Toby Shelton,15969
Robert Stevenson,15943
Robert Stevenson,19762
Ron Howard,2619
Steven Lisberger,97
Steve Miner,11675
Steven Spielberg,87
Ralph Bakshi,123
Fritz Kiersch,10823
Gary Goldman,11497
Don Bluth,11497
Dan Kuenster,11497
Barry Sonnenfeld,2907
Charles A. Nichols,15171
Iwao Takamoto,15171
Don Bluth,11704
Don Bluth,4978
Phil Nibbelink,10380
Simon Wells,10380
Steve Miner,11415
Ethan Wiley,37530
Jamie Uys,8393
Jamie Uys,11937
Chuck Parello,39930
John McNaughton,10692
Roman Polanski,805
Wolfgang Petersen,34584
George T. Miller,34636
John De Bello,2182
Stephen Norrington,36647
Vincenzo Natali,431
Brett Ratner,2109
Jamie Blanks,9877
John Carpenter,1091
Peter Hyams,4437
Ronny Yu,11932
John Carpenter,9945
Shekhar Kapur,4518
Danny Cannon,3600
Bryan Forbes,12223
Ishirô Honda,1678
Koji Hashimoto,39256
R.J. Kizer,39256
Ishirô Honda,1680
Merian C. Cooper,244
Ernest B. Schoedsack,244
John Guillermin,10730
John Guillermin,31947
Michael Ritchie,9749
Michael Ritchie,14628
Richard Fleischer,9626
John Glen,707
Hugh Wilson,9336
Jerry Paris,10157
Jerry Paris,12118
Jim Drake,10587
Alan Myerson,11825
Peter Bonerz,11895
George Miller,9447
Jonathan Frakes,200
George P. Cosmatos,1369
Ted Kotcheff,1368
Peter MacDonald,1370
Lewis Teague,10303
Robert Zemeckis,9326
Ron Howard,10328
Daniel Petrie,11285
Sylvester Stallone,1367
