cast,revenue,movies,return
Adam Allfrey,38629478.0,1,0.5518496857142857
Adam Arkin,111912152.0,2,2.6720304618736384
Adam Baldwin,874089586.0,2,6.262466329523809
Adam Bareham,572700000.0,1,17.7032457496136
Adam Beach,96887944.0,3,0.8276474068424357
Adam Biesk,2260622.0,1,1.130311
Adam Bloch,0.0,1,0.0
Adam Boyer,39421467.0,1,2.6280978
Adam Brody,634041214.0,3,5.736118806944444
Adam Brown,2935523356.0,3,3.9140311413333335
Adam Burton,299370084.0,1,1.7610004941176471
Adam Cantor,118587880.0,1,11.858788
Adam Carl,78000000.0,1,3.12
Adam Carolla,471222889.0,2,1.4279481484848484
Adam Cockburn,36230219.0,1,2.9442242316722336
Adam Deacon,165000.0,1,0.1659959758551308
Adam Devine,1391543442.0,5,7.877513586558486
Adam Deyoe,0.0,1,0.0
Adam Driver,2068223624.0,1,8.44172907755102
Adam Eget,0.0,1,0.0
Adam Faraizl,45681173.0,1,1.3051763714285713
Adam Ferrara,183293131.0,1,7.049735807692308
Adam Fristoe,83080890.0,1,3.3232356
Adam G. Sevani,536744901.0,4,4.509614049703558
Adam Galbraith,299370084.0,1,1.7610004941176471
Adam Ganne,682330139.0,1,4.548867593333333
Adam Gibbs,0.0,1,0.0
Adam Gifford,0.0,1,0.0
Adam Gilbert,115350426.0,1,6.785319176470588
Adam Godley,265096819.0,3,2.842782628686869
Adam Goldberg,121617458.0,4,0.6920329444444444
Adam Goldstein,623933331.0,1,3.119666655
Adam Gregory,415484914.0,1,3.4623742833333333
Adam Greydon Reid,160112671.0,1,2.2873238714285713
Adam Gunn,25533818.0,1,10.2135272
Adam Hann-Byrd,55041738.0,1,3.237749294117647
Adam Harrington,598992403.0,2,3.0769208642857144
Adam Hart,519311965.0,1,3.9947074230769233
Adam Herschman,12314651.0,1,0.8796179285714286
Adam Herz,287553595.0,1,9.585119833333334
Adam Hicks,0.0,1,0.0
Adam Hollander,76347072.0,2,116.66666666666667
Adam Hurtig,0.0,1,0.0
Adam J. Smith,325771424.0,1,6.786904666666667
Adam James,54947.0,1,0.015699142857142856
Adam Kalesperis,1004558444.0,1,5.430045643243243
Adam Lazarus,1414284475.0,2,3.4115234194444444
Adam LeFevre,107944236.0,1,1.255165534883721
Adam Levine,287506194.0,2,4.957003344827586
Adam Lezemore,809342332.0,1,4.496346288888889
Adam Ludwig,14225876.0,1,3.4697258536585367
Adam Lytle,1215439994.0,1,6.07719997
Adam Martingano,122513057.0,1,8.277909256756757
Adam McCann,467365246.0,1,2.4598170842105263
Adam McGrady,880674609.0,1,3.5945902408163266
Adam Overett,1274219009.0,1,8.494793393333333
Adam P. Murphy,0.0,1,0.0
Adam Pally,1215439994.0,1,6.07719997
Adam Ray,229147509.0,1,1.5913021458333334
Adam Robitel,0.0,1,0.0
Adam Rodríguez,289734628.0,2,16.083352556949805
Adam Sandler,1350017028.0,4,4.152925344301471
Adam Saunders,0.0,1,0.0
Adam Scarimbolo,33245.0,1,0.05114615384615385
Adam Scott,112177816.0,3,2.838180490079365
Adam Sef,820580447.0,1,5.507251322147651
Adam Sessa,0.0,1,0.0
Adam Shankman,415739978.0,3,6.283690652777778
Adam Shaw,0.0,1,0.0
Adam Smith,118063304.0,1,1.7362250588235295
Adam Tomei,816969268.0,1,10.892923573333332
Adam Vernier,176104344.0,2,1.2578881714285715
Adam Vosecek,81093313.0,1,2.3169518
Adam Weisman,80253908.0,1,5.3502605333333335
Adam White,185898.0,1,0.30983
Adam Wingard,122178.0,2,0.0
Adam Winkler,110627965.0,1,5.028543863636363
Adam Wylie,567784202.0,7,2.435990432653061
Adan Canto,747862775.0,1,2.9914511
Adan Jodorowsky,19776159.0,1,0.0
Addison Richards,0.0,6,0.0
Addyson Medley,415484914.0,1,3.4623742833333333
Ade,599045960.0,1,3.9936397333333336
Adel Bencherif,1086429056.0,2,3.5119155120748298
Adelaide Clemens,425365660.0,2,2.55111278
Adelaide Kane,89328627.0,1,29.776209
Adele Jergens,0.0,2,0.0
Adele Yoshioka,39768000.0,1,0.0
Adeline De Walt Reynolds,0.0,1,0.0
